,Player,rank,Age,Year,Model_Projection_Points,#,StdDev,High,Low
23,Travis Kelce,0.0,33.0,2022.0,235.13478601213842,15.0,3.1,1.01,3.02
16,Mark Andrews,1.125,27.0,2022.0,206.39735554250632,26.0,3.9,1.09,5.03
13,Kyle Pitts,2.375,22.0,2022.0,185.71276268930228,37.0,4.8,1.05,6.01
9,George Kittle,4.375,29.0,2022.0,160.51181972486654,43.0,5.0,1.12,6.06
20,Pat Freiermuth,5.0,24.0,2022.0,159.9730987181178,121.0,14.3,3.01,14.08
17,Mike Gesicki,5.125,27.0,2022.0,156.3990638810059,127.0,14.2,5.03,15.11
12,Hunter Henry,6.25,28.0,2022.0,152.35400837457448,141.0,16.6,5.01,15.1
19,Noah Fant,6.875,25.0,2022.0,147.86775994909283,219.0,25.0,4.11,18.06
4,Dallas Goedert,8.75,27.0,2022.0,139.25364664628668,83.0,8.9,4.05,11.07
24,Tyler Higbee,9.125,29.0,2022.0,135.61693160625185,193.0,28.6,6.11,19.04
25,Zach Ertz,9.75,32.0,2022.0,133.59141049114888,101.0,10.4,5.01,12.08
22,T.J. Hockenson,10.25,25.0,2022.0,131.41825222917788,66.0,6.7,3.1,8.11
1,Austin Hooper,11.5,28.0,2022.0,124.83593914184479,195.0,26.9,4.12,18.06
5,Dalton Schultz,12.625,26.0,2022.0,119.9523743100563,71.0,7.6,2.03,9.04
7,Dawson Knox,12.875,26.0,2022.0,116.90298848679691,92.0,11.0,3.07,13.03
8,Evan Engram,14.75,28.0,2022.0,108.80864594343784,208.0,22.9,9.08,18.03
3,Cole Kmet,16.0,23.0,2022.0,103.95563753680136,140.0,15.2,6.03,15.12
10,Gerald Everett,16.375,28.0,2022.0,98.5899872082889,231.0,21.3,8.02,18.06
11,Hayden Hurst,18.625,29.0,2022.0,83.3284928785808,161.0,31.4,6.12,18.05
21,Robert Tonyan,19.75,28.0,2022.0,79.66945174720927,,,,
6,David Njoku,21.25,26.0,2022.0,74.53850438816178,207.0,23.6,2.12,18.06
2,Cameron Brate,21.375,31.0,2022.0,72.786695209359,162.0,36.0,4.12,17.02
0,Albert Okwuegbunam,21.875,24.0,2022.0,71.21049661904564,180.0,19.6,7.05,18.06
15,Logan Thomas,21.5,31.0,2022.0,68.45941775492182,226.0,19.8,7.11,18.06
14,Kyle Rudolph,23.125,33.0,2022.0,63.21959976392329,178.0,33.6,5.07,18.05
18,Mo Alie-Cox,24.375,29.0,2022.0,55.77391915480818,167.0,41.3,6.08,18.02
