,Model Name,Position,Mean Square Error,R2 Score
16,RandomForestRegressor,QB,2736.656695892775,0.763828237585454
20,KNeighborsRegressor,QB,4354.7821721518985,0.6241850203307872
8,Lasso,QB,5825.278955330547,0.49728206701938316
12,BayesianRidge,QB,5899.714347396855,0.49085833920701216
24,MLPRegressor,QB,5935.798916294183,0.48774426346443145
4,Ridge,QB,6204.501740735616,0.4645553776574022
0,LinearRegression,QB,6308.863402507708,0.45554903147367476
17,RandomForestRegressor,RB,1120.9081030865352,0.7204506466596279
25,MLPRegressor,RB,1461.7336411755507,0.6354503165591388
1,LinearRegression,RB,1466.5630534122317,0.6342458832393503
5,Ridge,RB,1467.5874373953257,0.6339904065599886
9,Lasso,RB,1485.8209848346767,0.6294430432375753
13,BayesianRidge,RB,1486.6335908608035,0.6292403830119077
21,KNeighborsRegressor,RB,1750.6843300236405,0.5633873365589821
19,RandomForestRegressor,TE,1241.040666079333,0.5537174293162885
3,LinearRegression,TE,1310.8425778906555,0.5286164173243064
7,Ridge,TE,1311.9677411043906,0.5282118046913855
27,MLPRegressor,TE,1337.7686590622586,0.518933704217359
15,BayesianRidge,TE,1340.8045687937908,0.5178419804436069
11,Lasso,TE,1345.4872210469277,0.5161580822908172
23,KNeighborsRegressor,TE,1390.7433667896678,0.49988381375688373
18,RandomForestRegressor,WR,2170.822680031041,0.5392762826103905
26,MLPRegressor,WR,2368.9626749112326,0.4972241169293802
10,Lasso,WR,2438.0154459998384,0.4825687285899045
14,BayesianRidge,WR,2446.576879303408,0.4807516960823266
6,Ridge,WR,2453.635917759159,0.47925352376800223
2,LinearRegression,WR,2454.1932994677795,0.4791352280752389
22,KNeighborsRegressor,WR,2603.1132953367874,0.4475292499723045
